title_orig,discounted_price,original_price,units_sold,rating,uses_ad_boosts,product_color,product_variation_size_id,product_variation_inventory,price_difference,total_revenue,potential_revenue,revenue_difference,price_difference_group,uses_ad_boosts_group
Women's Casual Summer Sleeveless  Mini Dress,8.0,22,20000,3.45,1,green,XS,50,14.0,160000.0,440000,280000.0,high,yes
2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,8.0,43,100,3.57,0,leopardprint,XS,1,35.0,800.0,4300,3500.0,high,no
Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8.0,8,5000,4.03,1,black,M,50,0.0,40000.0,40000,0.0,low,yes
Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,3,100,3.1,1,yellow,S,1,0.2799999999999998,272.0,300,28.0,low,yes
Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,3.92,9,10,5.0,0,navyblue,XS,1,5.08,39.2,90,50.8,low,no
Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,11.0,84,100,3.47,1,black,M,50,73.0,1100.0,8400,7300.0,high,yes
Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,5.78,22,5000,3.6,0,beige,S,50,16.22,28900.0,110000,81100.0,high,no
Summer  Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,6.0,8,100,3.31,1,lightblue,XS,2,2.0,600.0,800,200.0,low,yes
New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,1.91,6,1000,3.45,1,orange,XS,1,4.09,1910.0,6000,4090.0,low,yes
Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,5.79,42,1000,3.32,0,red,S,50,36.21,5790.0,42000,36210.0,high,no
2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,2.0,2,20000,3.65,1,yellow,S,1,0.0,40000.0,40000,0.0,low,yes
Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,11.0,81,1000,3.92,0,black,S,50,70.0,11000.0,81000,70000.0,high,no
2018 New Fashion Women's Tops  Strappy Sleeveless Lace Crop Tops,5.0,25,100000,3.83,1,white,S,50,20.0,500000.0,2500000,2000000.0,high,yes
5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer  Cutout Back Open Double Layer Tank Top(S-5XL),9.0,9,20000,3.82,0,blue,S,50,0.0,180000.0,180000,0.0,low,no
S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,7.0,7,1000,3.67,0,red,S,7,0.0,7000.0,7000,0.0,low,no
Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow  Slim Tank Tops Tee,5.0,6,20000,3.6,0,black,S,11,1.0,100000.0,120000,20000.0,low,no
